ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM Discapacidad,IVM Educación,IVM Habitabilidad,IVM Familiar,IVM Participación,IVM CSE Familia,IVM CSE Comunal
5,1,JOVINA NARANJO FERNANDEZ,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,106,44.2115069718741,24,24,26,32,47.8844131246218,1.33228966855445,14.028934972711,20.9439855498443,37.1990655551087,3.75766027939032,46.5029910990254,22.1752708313436
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,116,49.5708166038182,10,18,27,61,46.4764383020806,1.70441195528863,12.3570316226916,21.3730013080517,32.5523050355966,19.1979477427658,55.5518599477668,22.1752708313436
9,4,ESCUELA REPUBLICA DE ISRAEL,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,598,41.5181479773518,167,166,168,97,47.3826611903249,3.58321037262139,13.5410008995021,20.1680984997916,34.2893273123472,1.16882971268629,45.5233341958532,22.1752708313436
10,8,ESCUELA REPUBLICA DE FRANCIA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,67,55.5335106773261,2,6,11,48,48.4393752624899,2.95092219124598,13.4456845011489,21.6140724759335,38.5656762825805,30.7068853035097,56.1962324462828,22.1752708313436
11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,136,50.1389842270765,10,26,24,76,42.7473660412426,5.52876952627699,16.552890036958,23.1112267439091,36.179303358056,20.2668909575584,56.8644537881175,22.1752708313436
12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,134,45.3512169208694,20,27,43,44,49.1256436845297,4.54031147403268,15.7915342141682,20.3161232090243,34.8299971141129,4.41622227490308,54.0924986799987,22.1752708313436
13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,108,49.5748413752836,6,16,31,55,41.3822450216797,1.3076176376553,14.139772017393,23.0097012488502,35.3065499067154,15.7358955625314,58.4299528686763,22.1752708313436
14,0,ESCUELA ROMULO J. PENA MATURANA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,147,49.3014018109051,6,31,40,70,41.1695668699032,2.70552235927538,15.3172336084006,21.9871202260372,32.5975245057572,19.4184171858074,57.9167041345794,22.1752708313436
15,9,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,135,42.2708488198654,28,45,36,26,46.4183033656085,3.79983825106235,10.1468151770571,19.486565528111,35.2072229864627,1.5803943853492,48.8441070050561,22.1752708313436
16,7,ESCUELA REGIMIENTO RANCAGUA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,126,51.8340263912746,6,15,23,82,45.4675782629378,2.93227972888989,16.3383803388118,21.5187078924186,34.2815296013752,27.2970048441342,56.2791097914241,22.1752708313436
17,5,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,191,48.6706191894565,20,34,43,94,45.8807833735026,3.64096111846577,15.7037931712041,20.6741558932553,35.0387424580301,15.7744104666186,55.9715115058777,22.1752708313436
18,3,ESC. COMTE. JUAN JOSE SAN MARTIN,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,127,48.2138772270862,19,16,30,62,42.3939668895028,4.56816690194507,15.7008095884261,21.299996243577,36.19593569849,16.5044978542368,55.2447371869333,22.1752708313436
19,1,ESC. HUMBERTO VALENZUELA GARCIA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,136,53.1007184407922,4,17,22,93,47.4859781304293,3.75507316696249,14.2754660075525,22.3416909364467,37.1955868446678,23.8582893588568,57.5230544036158,22.1752708313436
20,5,ESCUELA TUCAPEL,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,202,52.4183315268804,11,17,39,135,49.330193096663,4.93916726145287,16.2459468697852,21.1657991540323,36.5975893125177,23.5042981839815,56.2778506155827,22.1752708313436
22,1,ESCUELA GABRIELA MISTRAL,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,358,45.4075799240694,49,97,108,104,44.1709695517169,6.06425794357806,17.4289363631673,20.8127300919443,35.0244835276155,8.07626174861046,54.3293903950391,22.1752708313436
25,6,COLEGIO CENTENARIO DE ARICA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,247,48.3328964289814,31,36,73,107,45.0223465641441,2.92983042348306,15.3933672178402,20.7796483505504,34.634048964901,14.6489008193394,57.6291364399844,22.1752708313436
26,4,ESCUELA REPUBLICA DE ARGENTINA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,115,50.6980144775185,8,19,19,69,50.348203775345,5.17759629240836,13.0378701512266,22.1810186352065,34.3150586375297,20.6450214621922,53.0516150691554,22.1752708313436
27,2,ESCUELA ESMERALDA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,134,57.6165454377376,4,9,8,113,49.85171691891,5.9530730359215,11.698440078294,24.2699013732318,34.1049144840751,39.5625954419472,56.3755916924886,22.1752708313436
28,0,ESCUELA RICARDO SILVA ARRIAGADA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,233,43.7988007388209,45,69,58,61,46.2884146287962,3.70215710850029,15.3103583732446,20.6002660311949,32.4694681434439,9.46920991445315,46.6679366680755,22.1752708313436
29,9,ESCUELA AMERICA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,267,57.923407540486,2,10,38,217,46.2941307102509,3.24786154551913,16.6545005315069,23.0216849537445,32.3949793100104,45.9442600374559,57.4447156679423,22.1752708313436
31,0,ESCUELA DARIO SALAS DIAZ,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,161,46.1343460194898,24,43,33,61,38.190204206652,2.56508176331315,19.6693392549333,21.6711893600833,32.2171895612358,11.3351944350242,56.9194383586998,22.1752708313436
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,255,43.6086001568757,70,58,48,79,40.7978009547584,32.2586522658307,12.2343662220056,21.1570586752347,28.5644196436552,12.499215298565,62.1382595335185,22.1752708313436
33,7,ESCUELA CARLOS CONDELL DE LA HAZA,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,83,46.400070956763,8,20,21,34,47.7004399943352,5.1595727828115,12.9986643322669,23.1084858332136,28.3604313775932,5.35995075724023,56.1931934136706,22.1752708313436
