ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto
1,9,LICEO POLITECNICO ARICA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,674,27.5306642187937,165,40,62,407
4,3,LICEO OCTAVIO PALMA PEREZ,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,1224,14.893692277312,979,65,48,132
5,1,JOVINA NARANJO FERNANDEZ,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,482,19.4065005772851,270,49,39,124
7,8,L. POLI. BICENTENARIO DE EXCELENCIA ANTONIO VARAS DE LA BARRA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,1114,24.0988773229784,442,77,73,522
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,404,23.4621117867178,168,27,25,184
15,9,LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,131,18.6679349903151,67,20,14,30
25,6,COLEGIO CENTENARIO DE ARICA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,262,23.6336527449692,105,19,19,119
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,231,25.9848626849117,83,13,16,119
45,0,COLEGIO ITALIANO SANTA ANA,Particular Subvencionado,Urbano,15,151,15101,Arica,286,17.6223758109327,185,18,24,59
50,7,COLEGIO ADVENTISTA DE ARICA,Particular Subvencionado,Urbano,15,151,15101,Arica,177,15.5721829337253,131,12,10,24
52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,Particular Subvencionado,Urbano,15,151,15101,Arica,1813,21.6527001502643,908,131,114,660
56,6,COLEGIO SAN MARCOS DE ARICA,Particular Subvencionado,Urbano,15,151,15101,Arica,317,15.1659374393692,251,30,21,15
60,4,COLEGIO ALEMAN DE ARICA,Particular Subvencionado,Urbano,15,151,15101,Arica,303,18.7005491065791,168,34,28,73
67,1,ABRAHAM LINCOLN SCHOOL,Particular Subvencionado,Urbano,15,151,15101,Arica,235,14.3038179859151,206,16,8,5
72,8,LICEO VALLE DE CODPA,Servicio Local de Educación(SLE),Rural,15,151,15102,Camarones,32,31.243589756341,6,0,0,26
78,7,LICEO GRANADEROS,Servicio Local de Educación(SLE),Rural,15,152,15201,Putre,76,25.7942896610801,33,1,1,41
97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,673,31.433432737039,133,35,36,469
103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,195,22.0519531658695,82,22,20,71
106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,Administración Delegada (C. P. 3166),Urbano,1,11,1101,Iquique,586,30.0211254166109,104,44,36,402
107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,581,32.5210728133788,104,27,19,431
108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,788,32.8696995062394,133,47,32,576
109,0,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,546,32.2896936090478,78,20,34,414
110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,285,26.0109225356762,90,15,26,154
124,4,LICEO LUIS CRUZ MARTINEZ,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,1206,26.8292561632816,348,90,80,688
125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,345,28.3220102559358,86,25,16,218
127,9,LICEO MARIA AUXILIADORA,Particular Subvencionado,Urbano,1,11,1101,Iquique,295,16.2325902439905,213,30,11,41
129,5,LICEO SUPERIOR GABRIELA MISTRAL,Particular Subvencionado,Urbano,1,11,1101,Iquique,122,30.3183148535218,25,4,10,83
130,9,COLEGIO NORTH COLLEGE,Particular Subvencionado,Urbano,1,11,1101,Iquique,115,18.6278249239103,64,12,11,28
131,7,COLEGIO ESCASCE,Particular Subvencionado,Urbano,1,11,1101,Iquique,126,24.9588528686431,42,7,13,64
132,5,COLEGIO BAJO MOLLE,Particular Subvencionado,Urbano,1,11,1101,Iquique,680,15.2828977507905,516,49,47,68
133,3,COLEGIO ADVENTISTA DE IQUIQUE,Particular Subvencionado,Urbano,1,11,1101,Iquique,284,21.0941665270038,125,25,27,107
134,1,LICEO ATENEA,Particular Subvencionado,Urbano,1,11,1101,Iquique,118,22.2579993606166,54,7,9,48
144,9,COLEGIO IQUIQUE YOUNG SCHOOL,Particular Subvencionado,Urbano,1,11,1101,Iquique,146,21.8452109467071,68,13,16,49
161,9,LICEO DE HUARA,Municipal DAEM,Rural,1,14,1404,Huara,129,20.0976339322024,74,6,7,42
178,3,LICEO TECNICO PROFESIONAL COLCHANE,Municipal DAEM,Rural,1,14,1403,Colchane,74,27.6487854181946,23,3,1,47
191,0,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,Corporación Municipal,Rural,1,14,1401,Pozo Almonte,946,22.6764084241653,460,65,47,374
199,6,LICEO DOMINGO LATRILLE LASTAUNOU,Servicio Local de Educación(SLE),Urbano,2,23,2301,Tocopilla,495,21.356690212926,259,27,36,173
200,3,LICEO POLITÉCNICO BICENTENARIO DE EXCELENCIA DIEGO PORTALES PALAZUELOS,Servicio Local de Educación(SLE),Urbano,2,23,2301,Tocopilla,723,23.4034558457795,248,84,80,311
208,9,COLEGIO BICENTENARIO SAGRADA FAMILIA,Particular Subvencionado,Urbano,2,23,2301,Tocopilla,485,17.1054369704789,334,40,38,73
211,9,LICEO H.C. T.P. MARIA ELENA,Servicio Local de Educación(SLE),Urbano,2,23,2302,María Elena,316,20.6592071721335,174,31,15,96
217,8,LICEO BICENTENARIO LUIS CRUZ MARTINEZ,Servicio Local de Educación(SLE),Urbano,2,22,2201,Calama,1056,19.984119815523,577,108,86,285
218,6,LICEO FRANCISCO DE AGUIRRE,Servicio Local de Educación(SLE),Urbano,2,22,2201,Calama,507,27.5714802460788,168,25,19,295
219,4,LICEO BICENTENARIO POLITECNICO CESAREO AGUIRRE GOYENECHEA,Servicio Local de Educación(SLE),Urbano,2,22,2201,Calama,1099,25.8298734515577,432,64,62,541
220,8,LICEO MINERO AMÉRICA,Servicio Local de Educación(SLE),Urbano,2,22,2201,Calama,1038,25.3681659982686,345,96,65,532
253,4,COLEGIO ADVENTISTA DE CALAMA,Particular Subvencionado,Urbano,2,22,2201,Calama,336,18.0308922732135,205,22,27,82
254,2,FUNDACION EDUCACIONAL COLEGIO NUESTRA SEÑORA DE AYQUINA,Particular Subvencionado,Urbano,2,22,2201,Calama,227,23.1708730321756,105,15,21,86
255,0,COLEGIO EJERCITO DE SALVACION,Particular Subvencionado,Urbano,2,22,2201,Calama,330,20.4382178281788,189,29,22,90
256,9,INSTITUTO OBISPO SILVA LEZAETA,Particular Subvencionado,Urbano,2,22,2201,Calama,622,17.7294974349817,381,58,59,124
268,2,ESC. BASICA RURAL SAN ANTONIO DE PADUA,Servicio Local de Educación(SLE),Rural,2,22,2202,Ollagüe,349,16.8695906443597,5,1,0,1
270,4,COMPLEJO EDUCACIONAL TOCONAO,Servicio Local de Educación(SLE),Rural,2,22,2203,San Pedro de Atacama,99,19.3230425918281,66,7,3,23
279,8,LICEO INDUSTRIAL EULOGIO GORDO MONEO,Corporación Municipal,Urbano,2,21,2101,Antofagasta,1739,27.9713060263929,425,127,123,1064
280,1,LICEO COMERCIAL JERARDO MUNOZ CAMPOS,Corporación Municipal,Urbano,2,21,2101,Antofagasta,1784,30.785994094915,388,78,87,1231
283,6,LICEO TECNICO ANTOFAGASTA,Corporación Municipal,Urbano,2,21,2101,Antofagasta,1048,24.2950074794844,401,73,70,504
284,4,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,Corporación Municipal,Urbano,2,21,2101,Antofagasta,748,36.7076792585226,66,13,12,657
285,2,LICEO BICENTENARIO MARTA NAREA DIAZ,Corporación Municipal,Urbano,2,21,2101,Antofagasta,476,28.9952328151728,136,20,17,303
286,0,LICEO LA PORTADA,Corporación Municipal,Urbano,2,21,2101,Antofagasta,861,27.503903641748,248,68,54,491
287,9,LICEO DOMINGO HERRERA RIVERA,Corporación Municipal,Urbano,2,21,2101,Antofagasta,956,23.3766319728235,380,92,72,412
304,2,LICEO BICENTENARIO ANDRÉS SABELLA,Corporación Municipal,Urbano,2,21,2101,Antofagasta,488,18.5004447293021,288,38,25,137
320,4,LICEO ARTISTICO DE ANTOFAGASTA `ARMANDO CARRERA GONZALEZ`,Corporación Municipal,Urbano,2,21,2101,Antofagasta,284,24.9937863656728,106,16,13,149
329,8,LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO,Corporación Municipal,Urbano,2,21,2101,Antofagasta,249,20.5485271324411,130,22,15,82
335,2,COLEGIO MISIONERO JOSE LANCASTER,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,187,26.4307269827048,60,13,12,102
336,0,LICEO EXPERIMENTAL ARTISTICO-APLICACION,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,491,18.1334817227981,286,49,43,113
337,9,COLEGIO SANTA TERESITA,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,314,17.8175846068567,186,32,35,61
341,7,COLEGIO ADVENTISTA DE ANTOFAGASTA,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,338,20.0130966979263,161,31,29,117
342,5,COLEGIO INGLES SAN JOSE,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,351,17.911082350091,207,50,30,64
344,1,COLEGIO SANTA EMILIA,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,290,17.8409129046436,176,33,26,55
350,6,COLEGIO LIDIA MORENO,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,297,18.9651077171146,154,45,26,72
356,5,COLEGIO CORAZON DE MARIA,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,321,16.5218487171507,218,38,28,37
365,4,COLEGIO EAGLE SCHOOL,Particular Subvencionado,Urbano,2,21,2101,Antofagasta,317,17.8319405254476,186,38,40,53
367,0,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT,Municipal DAEM,Urbano,2,21,2102,Mejillones,905,26.4435934301592,329,52,42,482
371,9,COMPLEJO EDUCATIVO CARACOLES,Municipal DAEM,Urbano,2,21,2103,Sierra Gorda,51,27.2839600160378,14,1,5,31
372,7,LICEO POLITECNICO JOSE MIGUEL QUIROZ,Municipal DAEM,Urbano,2,21,2104,Taltal,433,17.4541481296288,278,24,40,91
373,5,LICEO JUAN CORTES-MONROY CORTES,Municipal DAEM,Urbano,2,21,2104,Taltal,408,16.5812670107947,296,20,22,70
379,4,LICEO FEDERICO VARELA,Servicio Local de Educación(SLE),Urbano,3,32,3201,Chañaral,730,21.9764496488378,301,65,64,300
384,0,LICEO BICENTENARIO  MANUEL MAGALHAES MEDLING,Servicio Local de Educación(SLE),Urbano,3,32,3202,Diego de Almagro,542,19.1430714255897,292,41,46,163
392,1,LICEO DIEGO DE ALMEIDA,Particular Subvencionado,Urbano,3,32,3202,Diego de Almagro,349,18.9051584736049,195,30,28,96
396,4,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,Servicio Local de Educación(SLE),Urbano,3,31,3101,Copiapó,814,23.6852880552012,300,81,68,365
399,9,LICEO JOSÉ ANTONIO CARVAJAL,Servicio Local de Educación(SLE),Urbano,3,31,3101,Copiapó,1057,28.8907883210133,223,76,76,682
400,6,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,Servicio Local de Educación(SLE),Urbano,3,31,3101,Copiapó,658,18.9972515527712,360,81,53,164
415,4,LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE,Servicio Local de Educación(SLE),Urbano,3,31,3101,Copiapó,299,18.2537702253887,154,52,34,59
420,0,LICEO FERNANDO ARIZTÍA RUIZ,Servicio Local de Educación(SLE),Urbano,3,31,3101,Copiapó,559,26.1508935336753,137,57,50,315
429,4,LICEO CATÓLICO ATACAMA,Particular Subvencionado,Urbano,3,31,3101,Copiapó,634,16.9681381688617,388,80,54,112
430,8,LICEO POLITÉCNICO BELÉN,Particular Subvencionado,Urbano,3,31,3101,Copiapó,309,21.4963504568946,156,22,20,111
431,6,LICEO SAGRADO CORAZÓN,Particular Subvencionado,Urbano,3,31,3101,Copiapó,253,20.2731894333583,125,29,17,82
433,2,COLEGIO ADVENTISTA DE COPIAPÓ,Particular Subvencionado,Urbano,3,31,3101,Copiapó,350,19.0760711587586,189,33,35,93
437,5,ESCUELA TÉCNICO PROFESIONAL,Particular Subvencionado,Urbano,3,31,3101,Copiapó,1224,22.2145440068299,482,129,106,507
438,3,LICEO MANUEL BLANCO ENCALADA,Servicio Local de Educación(SLE),Urbano,3,31,3102,Caldera,630,25.5707540773401,195,49,46,340
440,5,COLEGIO PARROQUIAL PADRE NEGRO,Particular Subvencionado,Urbano,3,31,3102,Caldera,376,22.65030109104,130,38,38,170
441,3,ESCUELA DE CONCENTRACIÓN,Servicio Local de Educación(SLE),Urbano,3,31,3103,Tierra Amarilla,68,30.3078398745792,13,7,2,46
448,0,LICEO PEDRO TRONCOSO MACHUCA,Servicio Local de Educación(SLE),Urbano,3,33,3301,Vallenar,873,20.0984882433635,454,81,64,274
449,9,LICEO JOSÉ SANTOS OSSA,Servicio Local de Educación(SLE),Urbano,3,33,3301,Vallenar,643,22.5660736782128,237,63,62,281
478,2,LICEO SANTA MARTA,Particular Subvencionado,Urbano,3,33,3301,Vallenar,341,14.6549722944151,266,24,16,35
479,0,LICEO SAN FRANCISCO,Particular Subvencionado,Urbano,3,33,3301,Vallenar,539,18.4275990909985,288,71,66,114
486,3,LICEO JAPÓN,Servicio Local de Educación(SLE),Urbano,3,33,3304,Huasco,518,18.0990640676486,315,35,26,142
516,9,LICEO GABRIELA MISTRAL DE LA SERENA,Corporación Municipal,Urbano,4,41,4101,La Serena,651,25.1560927096233,211,53,48,339
517,7,LICEO GREGORIO CORDOVEZ,Corporación Municipal,Urbano,4,41,4101,La Serena,678,19.9207401727191,356,50,61,211
518,5,LICEO TECNICO MARTA BRUNET,Corporación Municipal,Urbano,4,41,4101,La Serena,558,23.49977057944,210,42,47,259
521,5,COLEGIO VICTOR DOMINGO SILVA,Corporación Municipal,Urbano,4,41,4101,La Serena,158,25.8462115384333,44,15,13,86
526,6,COLEGIO JOSE MANUEL BALMACEDA,Corporación Municipal,Urbano,4,41,4101,La Serena,156,18.944176547149,77,23,21,35
530,4,COLEGIO GABRIEL GONZALEZ VIDELA,Corporación Municipal,Urbano,4,41,4101,La Serena,367,25.5849665719228,102,23,37,205
531,2,COLEGIO PEDRO AGUIRRE CERDA,Corporación Municipal,Urbano,4,41,4101,La Serena,134,21.6018051664658,55,14,12,53
535,5,COLEGIO JOSE MIGUEL CARRERA,Corporación Municipal,Urbano,4,41,4101,La Serena,147,25.0198573652888,45,10,10,82
565,7,COLEGIO ADVENTISTA LA SERENA,Particular Subvencionado,Urbano,4,41,4101,La Serena,330,18.7989231163858,185,29,24,92
567,3,COLEGIO SAN FRANCISCO COLL,Particular Subvencionado,Urbano,4,41,4101,La Serena,345,16.6561496755979,237,43,18,47
568,1,COLEGIO SAN ANTONIO,Particular Subvencionado,Urbano,4,41,4101,La Serena,177,15.1939932443354,132,14,11,20
570,3,COLEGIO ELENA BETTINI,Particular Subvencionado,Urbano,4,41,4101,La Serena,180,15.9221489370599,137,12,13,18
573,8,ESCUELA PARTICULAR TERESA VIDELA DE G,Particular Subvencionado,Urbano,4,41,4101,La Serena,300,17.7942510524841,179,29,29,63
574,6,ESCUELA INDUSTRIAL SALESIANA SAN RAMON,Particular Subvencionado,Urbano,4,41,4101,La Serena,751,21.2838591629931,274,90,99,288
