ID_RBD,DV_RBD,DS_NOM_ESTABLE,DS_TIPO_DEPENDENCIA,DS_RURALIDAD,ID_REGION_ESTABLE,ID_PROVINCIA_ESTABLE,ID_COMUNA_ESTABLE,DS_COMUNA_ESTABLE,N EVALUADO,IVM Establecimiento,IVM Bajo,IVM Medio,IVM Alto,IVM Muy Alto,IVM Salud,IVM CSE Familiar,IVM Estimulación y Apoyo,IVM Familia,IVM CSE Comunal,IVM Derechos
2,7,PARVULARIO LAS ESPIGUITAS,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,75,46.7645119460215,41,18,10,6,24.4941173809011,33.1110492672014,34.732329466246,71.3396473415867,13.9291264184952,28.9349270655426
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,29,53.1778355999936,6,9,8,6,33.6272440526606,44.5725053698519,44.1608400366248,70.7611306835405,13.9419631348485,25.1867860867505
9,4,ESCUELA REPUBLICA DE ISRAEL,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,194,46.4845358095894,96,52,36,10,27.8598516491556,35.0359806587762,39.835498288929,70.7251393688403,14.0354469746764,26.9955863275086
10,8,ESCUELA REPUBLICA DE FRANCIA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,54,50.0441453142453,5,4,6,1,44.7702707607968,43.5306142214395,51.9774674099966,71.9696372995905,14.2317901930719,29.9293212730252
11,6,ESC. GRAL. PEDRO LAGOS MARCHANT,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,45,58.2896483870759,6,8,11,20,27.819436913925,50.1012693309207,46.1418765970742,67.1649134917014,13.9587027644494,34.0092621447948
12,4,ESCUELA GRAL JOSE MIGUEL CARRERA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,40,55.9915953477844,7,6,17,10,24.0525754460703,42.1319857559008,47.9006591180595,76.1722984571741,14.2776207590557,41.5982226331563
13,2,ESCUELA MANUEL RODRIGUEZ ERDOYZA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,33,56.7224090895456,5,11,6,11,24.2846380094625,47.3157775220823,61.5389063843806,68.9270375225398,14.220419439263,41.1435842647517
14,0,ESCUELA ROMULO J. PENA MATURANA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,68,56.9921423636281,11,14,19,24,37.6052646894559,48.2271557815266,55.7570766267346,71.7691807462136,14.7030828082739,59.7715475258488
16,7,ESCUELA REGIMIENTO RANCAGUA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,34,53.0584945674197,8,8,13,5,37.3137050729178,44.4215343629474,54.5893436744257,70.3160628932308,14.4192663796902,20.7703124879249
17,5,ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,48,52.2839607283116,15,12,14,7,34.737117158813,44.4309536720326,44.9393132858754,68.7588750841742,14.0597348979137,23.1101236850868
18,3,ESC. COMTE. JUAN JOSE SAN MARTIN,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,54,51.0247114419112,5,2,3,2,27.7892051560278,38.3312997267493,38.7164410084248,74.3363670524294,14.1007918140426,63.1448567280673
19,1,ESC. HUMBERTO VALENZUELA GARCIA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,38,54.9345875531537,4,14,12,8,36.1084238452887,46.9155627451442,50.2081604551494,70.8573636123688,14.1411795233898,12.601819483379
20,5,ESCUELA TUCAPEL,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,51,55.024100821252,14,9,12,16,37.2212881870716,47.8853494759252,48.452171223193,67.0130775067999,14.1715860449413,44.4514552474701
22,1,ESCUELA GABRIELA MISTRAL,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,113,53.5164936604253,32,27,29,25,32.9114570192604,41.4705045428248,40.3614912737304,70.9023713308107,14.0787354853562,35.1885854380986
25,6,COLEGIO CENTENARIO DE ARICA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,82,54.4136339715076,13,29,21,19,31.9325560512783,45.3598128671789,50.675600461043,70.0365782104385,14.1943837110043,32.8578744127075
26,4,ESCUELA REPUBLICA DE ARGENTINA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,28,51.1314287883243,9,8,8,3,31.8688310311561,41.5308156824169,40.6992937031137,70.3770450425932,14.0228167758592,22.5148855898487
27,2,ESCUELA ESMERALDA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,34,54.9814339842364,4,14,11,5,43.4481437288665,49.5620980358507,60.6366121170232,68.6182095683679,14.4534466733501,16.3130284835907
28,0,ESCUELA RICARDO SILVA ARRIAGADA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,53,49.1939884161589,22,11,15,5,27.0925076745386,37.4206817975608,40.3589256160966,71.5082758485029,14.0659933220188,37.6291641856984
29,9,ESCUELA AMERICA,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,101,54.9449234311289,19,25,30,27,39.0425636691172,49.37303330037,66.2383229764876,65.878088623857,14.5607502864245,27.6667891271487
31,0,ESCUELA DARIO SALAS DIAZ,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,67,60.0325244801566,4,14,23,26,38.4466417052473,49.8151973684806,52.852824683538,74.820768329374,14.8130608474504,66.318423464569
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,115,63.4564108390735,4,12,26,73,38.2116309726163,53.9918899733525,54.052684225241,76.1301225546268,14.9187489728864,69.3416303919421
33,7,ESCUELA CARLOS CONDELL DE LA HAZA,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,38,59.7892020655449,2,11,5,20,45.2669072608711,53.4471001451362,57.6697496152523,73.9942103362962,15.23535119322,68.9912417385016
35,3,ESCUELA GRAL. MANUEL BAQUEDANO,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,31,59.0012429118626,3,4,10,14,30.9900304161341,49.2487149075782,59.9387974720572,72.2195515805984,14.4062473550491,61.8894152828496
36,1,ESCUELA IGNACIO CARRERA PINTO,Servicio Local de Educación(SLE),Urbano,15,151,15101,Arica,57,54.1994762087056,12,15,16,14,49.3644080910276,50.2876258452179,57.1909633028452,67.4761453418469,14.573096580579,58.8627946469043
38,8,ESCUELA ESPAÑA,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,81,62.1570097516124,5,12,23,41,39.8172462915626,54.1809712897105,52.1564124835307,73.6162848140097,14.8931795705897,66.3808207523038
39,6,ESCUELA PAMPA ALGODONAL,Servicio Local de Educación(SLE),Rural,15,151,15101,Arica,54,61.4534608185587,0,0,6,1,44.3662563514756,54.6048030083908,66.8775776664185,71.9424099152399,15.3976376153165,64.9489954917263
43,4,JARDIN INFANTIL CEPILLIN,Particular Subvencionado,Urbano,15,151,15101,Arica,54,44.7636621714557,10,2,4,2,26.6700925284165,32.0994723061085,38.0986218455179,69.175865594145,13.793705012856,37.8869140368404
45,0,COLEGIO ITALIANO SANTA ANA,Particular Subvencionado,Urbano,15,151,15101,Arica,59,50.4996457425974,23,19,9,8,28.9116607342965,39.7570021636754,38.1512313393093,69.8071446426704,13.8957251964332,34.9293829327378
52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,Particular Subvencionado,Urbano,15,151,15101,Arica,245,52.0411985285279,64,80,64,37,32.6324574955523,41.3118727050511,42.23095538818,71.3096096571663,14.0809173632002,32.8194913725015
56,6,COLEGIO SAN MARCOS DE ARICA,Particular Subvencionado,Urbano,15,151,15101,Arica,33,44.4792812232913,23,6,3,1,22.9968800974743,29.4867998874333,34.4587495816281,73.6413415561237,13.9676616534533,22.9617660829335
60,4,COLEGIO ALEMAN DE ARICA,Particular Subvencionado,Urbano,15,151,15101,Arica,112,49.2453634980786,42,35,27,8,30.2736808461561,37.8208434402218,39.834102186255,69.9311590232866,14.1845055611983,36.5061732471789
66,3,JARDIN INFANTIL PLUTO,Particular Subvencionado,Urbano,15,151,15101,Arica,54,59.6428212715084,0,0,1,0,22.4788450823016,37.0016954141546,20.5858435064053,69.836519842792,13.4742948226713,0.0
67,1,ABRAHAM LINCOLN SCHOOL,Particular Subvencionado,Urbano,15,151,15101,Arica,54,46.9610279105973,9,6,3,1,27.7221429218055,33.3435074620045,34.8010034518935,72.0705776505516,14.0413316666464,26.4787006470907
78,7,LICEO GRANADEROS,Servicio Local de Educación(SLE),Rural,15,152,15201,Putre,23,60.8450077489844,2,2,9,10,31.9703079365054,50.1172387409284,52.7686119741301,72.9401737647814,41.1918641407156,78.9337635423311
110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,133,51.1306486115526,36,51,30,16,31.7051068419762,43.2794138808808,41.4830444410337,68.4048086509344,6.54535968252747,20.669087746497
111,2,ESCUELA GABRIELA MISTRAL,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,129,49.6143529446487,53,39,27,10,35.2353697376174,43.3136428114928,49.4895127685812,68.1164550289227,6.64323297701477,19.1242187412479
112,0,ESCUELA EDUARDO LLANOS,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,118,52.2247356167853,35,30,32,21,31.1389761277924,45.3084733744083,51.4557638792016,68.5824986377321,6.55260361116274,15.5644696703831
113,9,ESCUELA ALMIRANTE PATRICIO LYNCH,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,125,53.6510673449683,30,36,42,17,37.8338192441181,48.0431519683165,53.5934976468173,68.9396525828343,6.59298222335632,15.3485749901467
114,7,ESCUELA PLACIDO VILLARROEL,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,42,52.9345859520258,12,14,8,8,41.0416525704592,47.7440502852377,41.9709978872254,69.9893429466184,6.50981469593182,12.6289713456135
116,3,COLEGIO REPUBLICA DE CROACIA,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,132,54.7927339359872,23,40,39,30,30.8059824163169,47.5391126113381,56.6102061871078,70.6230248241384,6.77446017629908,8.3802320044655
117,1,ESCUELA PAULA JARAQUEMADA ALQUIZAR,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,113,53.112627343792,27,38,30,18,34.4697171166125,47.3220161821679,48.3978017561953,67.7119502402515,6.69362225559937,18.6936393732645
119,8,ESCUELA CENTENARIO,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,108,58.3157650562332,10,28,33,37,43.8452511854004,57.8395135383964,58.8420956766334,65.5351623410243,6.68299623861449,17.2586009752431
122,8,ESCUELA THILDA PORTILLO OLIVARES,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,43,51.5415583071789,13,13,7,10,31.0731498041617,43.0641915744619,48.0451190130653,70.9390829421383,6.51689107113126,18.185219829375
123,6,COLEGIO ESPANA,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,63,54.4859600031716,13,20,13,17,31.0621003368748,47.4763123743481,44.3596626866197,69.830426472514,6.44047207822812,21.2159908111938
125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,114,54.0706849145347,22,43,27,22,32.3518461109058,47.0934939361257,38.891153663317,68.3369091438629,6.47361383713379,26.7455146516149
126,0,COLEGIO REPUBLICA DE ITALIA,Servicio Local de Educación(SLE),Urbano,1,11,1101,Iquique,116,53.4595039479267,29,31,32,24,32.1851904491539,44.1788979722282,43.0488514547714,73.1151932254519,6.55093323751184,16.9571053243188
129,5,LICEO SUPERIOR GABRIELA MISTRAL,Particular Subvencionado,Urbano,1,11,1101,Iquique,70,50.2902700205516,5,9,4,1,30.568612945206,41.6007342249452,39.1300142521254,67.4470507157048,6.48804179241389,6.53821957506944
132,5,COLEGIO BAJO MOLLE,Particular Subvencionado,Urbano,1,11,1101,Iquique,22,42.744972332867,14,7,1,0,20.9075513319927,32.5211560411261,40.0210658510469,66.4576881944617,6.65148216420863,19.4237038282292
133,3,COLEGIO ADVENTISTA DE IQUIQUE,Particular Subvencionado,Urbano,1,11,1101,Iquique,61,50.1631887607584,23,21,13,4,26.9200196477233,39.277465765611,39.0767454862833,69.6165334968653,6.603195227083,21.1172963484028
156,2,ESCUELA PISAGUA,Municipal DAEM,Rural,1,14,1404,Huara,54,70.9954979232466,0,1,0,5,27.9298602018595,56.1797261571751,40.4016183743908,70.4311095439689,62.0711793068769,29.2956380122801
160,0,ESCUELA PACHICA,Municipal DAEM,Rural,1,14,1404,Huara,54,63.9966959130081,0,0,5,6,28.3124080612188,49.4975076202189,75.2440133904002,68.3133093121555,62.2763831954654,71.0876775148297
161,9,LICEO DE HUARA,Municipal DAEM,Rural,1,14,1404,Huara,65,64.9000466804555,3,7,10,45,29.9335434501422,47.143175389659,42.365701128158,73.0972891766587,62.3475448111086,48.4935997319819
167,8,ESCUELA CAMINA,Municipal DAEM,Rural,1,14,1402,Camiña,54,68.8123597347668,0,0,1,3,29.0143303659646,48.9199897248031,18.4627952545763,75.4835232219922,73.9968080752755,81.8303710552605
178,3,LICEO TECNICO PROFESIONAL COLCHANE,Municipal DAEM,Rural,1,14,1403,Colchane,21,71.7424188471674,0,1,5,15,26.3563888666225,52.4691304691988,44.7362429509387,72.9141680177421,98.9916662222555,69.7109002536311
187,2,ESCUELA VERTIENTE DEL SABER,Municipal DAEM,Rural,1,14,1405,Pica,49,61.9253759087958,6,5,14,24,30.6628716454519,46.225252413026,48.3583524232896,74.9535482630236,55.100110944889,59.6890305787303
188,0,ESC. MATILLA DE NUEVA EXTREMADURA,Municipal DAEM,Rural,1,14,1405,Pica,21,53.4390964715147,5,6,7,3,26.5690659512977,37.1016361731853,40.9414900520148,69.7387904804019,55.0857378204559,60.0396949062633
192,9,ESCUELA BASICA MAMINA,Corporación Municipal,Rural,1,14,1401,Pozo Almonte,54,55.2463000638168,1,1,0,1,31.0260104556616,42.581119226177,69.1229402897843,66.5230859478974,39.0651239682563,0.0
193,7,ESCUELA BASICA POZO ALMONTE,Corporación Municipal,Rural,1,14,1401,Pozo Almonte,129,55.6518645490865,29,25,35,40,32.1812350428159,40.9571338096286,42.6203027991268,73.6966503299484,39.1028660267648,48.5419088829028
195,3,ESCUELA BASICA LA TIRANA,Corporación Municipal,Rural,1,14,1401,Pozo Almonte,38,62.6289856421436,5,7,5,21,31.2009289804966,50.9729237124926,45.2514238138891,70.7245191830428,39.7895877730122,49.7697470933499
198,8,ESCUELA BASICA LA HUAYCA,Corporación Municipal,Rural,1,14,1401,Pozo Almonte,54,66.1336810199265,0,1,3,12,30.4559683623166,52.0275094893219,48.9107595627224,77.8536482190673,39.8946755545176,55.1227782914454
201,1,ESCUELA CARLOS CONDELL DE LA HAZA,Servicio Local de Educación(SLE),Urbano,2,23,2301,Tocopilla,101,54.0275521267977,25,25,27,24,31.5491124124728,45.0184451326842,44.445134139096,70.7109426539348,11.362442764665,9.6611270106305
203,8,ESCUELA PABLO NERUDA,Servicio Local de Educación(SLE),Urbano,2,23,2301,Tocopilla,42,54.0295453281045,11,7,17,7,30.4727832176638,45.6114250939405,42.7332206789861,71.3801282460805,11.2284575618819,11.3279482874686
204,6,ESCUELA L.GRAL.BERNARDO O´HIGGINS R.,Servicio Local de Educación(SLE),Urbano,2,23,2301,Tocopilla,75,52.663939167773,23,18,21,13,25.1642010984103,43.5945327657757,37.0779436495923,63.8312676872933,11.172739614713,7.35396874863149
205,4,ESCUELA ARTURO PRAT CHACON,Servicio Local de Educación(SLE),Urbano,2,23,2301,Tocopilla,72,58.6992225197049,10,13,21,28,30.7824612574111,51.9502127897822,49.8702537570145,69.9729078224153,11.4111043988088,12.1635253899122
206,2,ESCUELA ESTADOS UNIDOS DE NORTEAMERICA,Servicio Local de Educación(SLE),Urbano,2,23,2301,Tocopilla,50,53.0191176505435,13,15,8,14,28.2992182741437,43.7760632502334,38.1198942242444,65.3837012757049,11.3832672102836,14.9690468770528
208,9,COLEGIO BICENTENARIO SAGRADA FAMILIA,Particular Subvencionado,Urbano,2,23,2301,Tocopilla,81,48.8266284849809,37,15,20,9,23.0183536004435,36.7854773409704,32.4744283449984,70.9572600193977,11.1069681879783,11.448413385445
210,0,ESCUELA ARTURO PEREZ CANTO,Servicio Local de Educación(SLE),Urbano,2,23,2302,María Elena,95,55.9830177760837,22,20,21,32,29.1755163458926,44.4929614329188,40.1700104344638,67.7707808408277,26.7984467850294,11.8991241738502
236,4,ESCUELA DE PARVULOS LAS ABEJITAS,Servicio Local de Educación(SLE),Urbano,2,22,2201,Calama,54,53.227625958924,3,5,4,2,29.1948369257152,43.3709423732857,35.8699377454197,63.0232993085834,11.2542514421866,32.4744977458632
241,0,ESCUELA PARVULARIA LAS ARDILLAS,Servicio Local de Educación(SLE),Urbano,2,22,2201,Calama,160,53.0081934078782,44,36,50,30,28.1714013126463,44.5177541345402,44.5063232389641,68.2657960772093,11.0479823775456,23.6406298693412
244,5,ESCUELA DE PARVULOS LOS ENANITOS,Servicio Local de Educación(SLE),Urbano,2,22,2201,Calama,237,55.1212793913116,47,59,72,59,31.8128333885391,46.3127722642561,44.4874967485055,69.3137688689662,11.1190805785976,24.36181927697
